Sample	Cluster	Ident	Comments
EG1	0	NA	NA
EG1	1	NK-cell	GZ pos
EG1	2	NA	NA
EG1	3	myeloid prog	KIT pos
EG1	4	myeloid	CD33 pos, IGLL1 pos, MPO pos
EG2	0	leukemic HSC	CD34 pos, IGLL1 pos, CD3 pos
EG2	1	leukemic T-cell	IGLL pos, CD3 pos
EG2	2	leukemic	CD34 pos, IGLL1 pos, CD3 pos
EG2	3	dividing leukemic HSC	CD34 pos, IGLL1, MKI67 pos, CD3 pos
EG2	4	leukemic HSC	CD34 pos, IGLL1 pos, CD3 pos
EG2	5	dendritic?	FCER1A pos, IGLL1 pos
EG2	6	monocyte	LYZ pos
EG2	7	leukemic T-cell	IGLL pos, CD3 pos
EG2	8	T-cell	CD3 pos
EG2	9	T-cell, NK-cell	GZ pos, CD8 pos
EG2	10	leukemic T-cell	IGLL pos, CD3 pos
EG2	11	leukemic T-cell	IGLL pos, CD3 pos
EG2	12	monocyte	MPO pos
EG2	13	blood-cell	HB pos
EG2	14	blood-cell	HB pos
EG3	0	T-cell	CD3 pos
EG3	1	T-cell	CD3 pos
EG3	2	NK-cell, T-cell	CD3 pos, CD8 pos, GZ pos
EG3	3	myeloid	CD33 pos, MPO pos, MKI67
EG3	4	myeloid prog	KIT pos, DNTT pos, CD34 pos
EG4	0	leukemic	CD3 pos, IGLL1 pos
EG4	1	leukemic	CD3 pos, IGLL1 pos, MPO pos, CD34
EG4	2	leukemic	CD3 pos, IGLL1 pos, CD34
EG4	3	leukemic	CD3	pos, IGLL1 pos, MPO pos, CD34
EG4	4	leukemic	CD3 pos, IGLL1 pos
EG4	5	blood-cell	HB pos
EG4	6	dividing	CD3 pos, IGLL1 pos, MKI67, CD34
EG4	7	leukemic	CD3 pos, IGLL1 pos
EG4	8	monocyte	LYZ pos, MPO pos
EG4	9	T-cell	CD3 pos
EG4	10	myeloid	MPO pos
EG4	11	T-cell, NK-cell	CD8 pos, GZ pos
EG4	12	monocyte	LYZ pos, CD33 pos, CD14 pos
